anio,id_ent,id_act,unidades_eco,produccion,personal,activos
2003,2,336610,2,,,
2003,2,336999,4,1.532,7,0.191
2003,2,434221,93,376.299,959,85.739
2003,2,434222,41,666.701,506,110.553
2003,2,434229,22,84.288,268,14.393
2003,2,434311,61,137.084,585,50.089
2003,2,435220,37,55.396,253,12.268
2003,2,435419,44,140.192,427,32.093
2003,2,468211,836,719.213,4193,249.496
2003,2,468212,342,111.816,1198,63.215
2003,2,468213,208,290.878,1112,77.988
2003,2,811122,78,11.688,157,4.381
2003,2,811129,51,42.435,144,5.032
2003,2,811312,148,134.283,604,48.756
2003,3,321920,1,,,
2003,3,323119,51,27.424,196,15.275
2003,3,326140,1,,,
2003,3,326160,1,,,
2003,3,326220,1,,,
2003,3,327111,2,,,
2003,3,327121,24,,,
2003,3,327991,7,,,
2003,3,327999,1,,,
2003,3,331510,1,,,
2003,3,332211,2,,,
2003,3,332710,5,1.756,9,1.408
2003,3,332999,1,,,
2003,3,333241,1,,,
2003,3,333412,2,,,
2003,3,333510,1,,,
2003,3,336340,1,,,
2003,3,434221,9,50.867,256,99.699
2003,3,434222,11,13.926,34,2.234
2003,3,434229,1,,,
2003,3,434311,9,,,
2003,3,435419,3,9.803,58,3.274
2003,3,468211,201,133.187,864,87.076
2003,3,468212,56,9.81,135,6.503
2003,3,468213,56,72.558,342,23.034
2003,3,811122,6,,,
2003,3,811129,7,,,
2003,3,811312,55,25.695,171,26.626
2003,4,314110,3,0.017,3,0
2003,4,321920,1,,,
2003,4,322210,1,,,
2003,4,323119,58,,,
2003,4,325120,1,,,
2003,4,325130,2,,,
2003,4,326110,1,,,
2003,4,326199,2,,,
2003,4,327121,2,,,
2003,4,327991,3,,,
2003,4,327999,1,,,
2003,4,332211,1,,,
2003,4,332420,1,,,
2003,4,332710,15,10.787,72,7.182
2003,4,332720,5,0.391,6,0.705
2003,4,332910,2,,,
2003,4,332999,2,,,
2003,4,336350,1,,,
2003,4,434221,11,36.213,82,3.011
2003,4,434222,12,78.445,98,9.279
2003,4,434229,4,24.345,21,3.59
2003,4,434311,16,2.112,51,1.161
2003,4,435220,6,9.375,34,3.367
2003,4,435419,27,79.224,284,32.545
2003,4,468211,179,76.942,670,34.984
2003,4,468212,11,5.523,42,3.386
2003,4,468213,22,19.793,118,13.087
2003,4,811122,4,,,
2003,4,811129,1,,,
2003,4,811312,63,945.283,1725,109.801
2003,5,314110,1,,,
2003,5,321920,23,,,
2003,5,322210,15,,,
2003,5,323119,385,578.36,2218,379.117
2003,5,324191,2,,,
2003,5,325211,1,,,
2003,5,325510,6,,,
2003,5,325993,2,,,
2003,5,326110,6,44.265,196,15.366
2003,5,326120,4,3.122,21,18.347
2003,5,326140,3,22.427,167,3.956
2003,5,326150,5,367.647,424,47.072
2003,5,326160,6,492.369,489,325.052
2003,5,326192,6,1064.243,1234,610.727
2003,5,326193,4,39.331,50,64.017
2003,5,326194,5,811.271,775,432.385
2003,5,326198,6,9.922,74,3.074
2003,5,326199,9,10.37,61,5.109
2003,5,326220,3,91.071,635,0.844
2003,5,326290,12,190.816,341,31.226
2003,5,327111,10,224.701,766,445.769
2003,5,327112,5,406.144,1100,655.959
2003,5,327121,216,353.045,1218,251.325
2003,5,327122,30,633.589,993,1127.06
2003,5,327123,3,350.417,272,289.544
2003,5,327910,1,,,
2003,5,327991,50,,,
2003,5,327999,11,,,
2003,5,331111,1,,,
2003,5,331210,3,592.586,264,602.617
2003,5,331220,3,978.276,994,1124.107
2003,5,331310,7,311.986,837,209.866
2003,5,331419,1,,,
2003,5,331510,27,285.658,860,391.002
2003,5,331520,10,24.652,110,8.127
2003,5,332110,7,13.837,29,5.891
2003,5,332211,7,20.036,70,14.007
2003,5,332420,12,848.44,2013,667.107
2003,5,332510,3,0.266,4,0.324
2003,5,332610,5,47.292,167,56.333
2003,5,332710,180,258.635,1425,228.685
2003,5,332720,60,66.557,259,49.36
2003,5,332810,9,91.783,275,94.413
2003,5,332910,3,64.509,293,32.113
2003,5,332999,45,317.41,1808,102.444
2003,5,333111,14,,,
2003,5,333112,1,,,
2003,5,333120,3,680.94,2127,873.592
2003,5,333130,5,13.344,55,4.216
2003,5,333242,1,,,
2003,5,333243,4,116.341,699,13.585
2003,5,333244,1,,,
2003,5,333249,1,,,
2003,5,333319,4,11.749,80,29
2003,5,333411,12,145.105,284,23.097
2003,5,333412,7,4.67,17,1.985
2003,5,333510,18,249.901,695,192.72
2003,5,333610,4,4002.56,1711,1611.216
2003,5,333910,7,61.469,276,25.588
2003,5,333920,8,326.461,1023,175.257
2003,5,333991,5,,,
2003,5,333993,1,,,
2003,5,333999,19,583.589,709,164.504
2003,5,334110,1,,,
2003,5,334290,1,,,
2003,5,334310,1,,,
2003,5,334410,8,358.746,3276,51.189
2003,5,334519,4,90.082,206,18.071
2003,5,335311,6,375.394,3707,36.71
2003,5,335312,6,284.804,1536,46.851
2003,5,335910,1,,,
2003,5,335920,2,,,
2003,5,336110,2,,,
2003,5,336120,1,,,
2003,5,336210,13,878.31,1738,487
2003,5,336310,13,10910.486,7407,13659.293
2003,5,336320,25,3529.546,23201,984.25
2003,5,336330,5,2374.34,2260,1151.636
2003,5,336340,4,33.296,35,16.795
2003,5,336350,3,4.603,17,0.771
2003,5,336360,16,4176.743,24658,463.589
2003,5,336370,6,914.917,689,966.328
2003,5,336390,10,3497.615,2872,2665.605
2003,5,336410,1,,,
2003,5,434221,109,388.008,1213,262.917
2003,5,434222,65,273.096,675,93.482
2003,5,434229,51,,,
2003,5,434311,118,77.913,808,56.468
2003,5,435220,70,110.946,430,25.814
2003,5,435419,88,276.625,819,58.646
2003,5,468211,812,935.535,3267,218.77
2003,5,468212,216,42.252,540,35.206
2003,5,468213,89,135.374,696,55.92
2003,5,811122,31,3.363,50,1.538
2003,5,811129,12,19.575,69,5.506
2003,5,811312,207,500.577,3167,154.565
2003,6,321920,19,23.464,123,5.988
2003,6,322210,2,,,
2003,6,323119,77,37.347,307,26.762
2003,6,325510,2,,,
2003,6,326110,2,,,
2003,6,326120,1,,,
2003,6,326193,1,,,
2003,6,326194,1,,,
2003,6,327111,2,,,
2003,6,327121,56,,,
2003,6,327123,1,,,
2003,6,327991,6,,,
2003,6,327999,1,,,
2003,6,331510,2,,,
2003,6,332110,3,5.605,23,3.004
2003,6,332420,1,,,
2003,6,332610,2,,,
2003,6,332710,10,3.3,34,4.673
2003,6,332720,5,2.369,19,3.316
2003,6,332999,11,3.877,39,2.046
2003,6,333112,1,,,
2003,6,333243,1,,,
2003,6,333411,1,,,
2003,6,333920,1,,,
2003,6,333991,1,,,
2003,6,335910,1,,,
2003,6,336210,3,,,
2003,6,336320,1,,,
2003,6,336350,1,,,
2003,6,336370,1,,,
2003,6,434221,19,78.574,183,15.493
2003,6,434222,13,12.935,50,2.641
2003,6,434229,1,,,
2003,6,434311,12,,,
2003,6,435220,4,3.167,19,0.88
2003,6,435419,13,5.691,54,2.458
2003,6,468211,234,112.135,724,56.893
2003,6,468212,28,4.933,69,8.005
2003,6,468213,37,67.064,365,25.423
2003,6,811122,31,6.501,86,3.764
2003,6,811129,9,1.168,19,1.37
2003,6,811312,63,28.883,207,16.783
2003,7,314110,4,0.069,8,0.007
2003,7,321920,9,1.862,45,0.26
2003,7,322210,1,,,
2003,7,323119,322,71.225,975,69.229
2003,7,325120,3,18.669,17,3.774
2003,7,325510,2,,,
2003,7,326110,3,11.553,37,36.042
2003,7,326120,1,,,
2003,7,326140,4,6.803,42,6.628
2003,7,326150,1,,,
2003,7,326160,1,,,
2003,7,326194,1,,,
2003,7,326198,1,,,
2003,7,326199,2,,,
2003,7,326220,1,,,
2003,7,326290,1,,,
2003,7,327111,295,2.286,431,0.649
2003,7,327121,180,22.704,500,10.09
2003,7,327910,1,,,
2003,7,327991,18,1.939,40,2.718
2003,7,327999,4,,,
2003,7,331210,1,,,
2003,7,331510,3,,,
2003,7,332110,3,,,
2003,7,332211,1,,,
2003,7,332410,4,0.066,5,0.027
2003,7,332510,1,,,
2003,7,332710,14,2.806,33,4.962
2003,7,332720,16,3.635,53,3.384
2003,7,332810,3,0.322,16,3.189
2003,7,332999,5,0.634,6,0.296
2003,7,333111,3,,,
2003,7,333120,1,,,
2003,7,333243,2,,,
2003,7,333411,2,,,
2003,7,333412,1,,,
2003,7,333991,2,,,
2003,7,334310,2,,,
2003,7,336210,18,13.077,94,4.575
2003,7,336320,5,397.438,1400,41.799
